RunID,Dataset,epsilon,Precision,Recall,F1,Runtime_s
1,100_corr_25,1,0.647059,1.0,0.785714,0.15
2,100_corr_25,2,0.647059,1.0,0.785714,0.13
3,100_corr_25,3,0.647059,1.0,0.785714,0.12
4,100_corr_25,4,0.916667,1.0,0.956522,0.12
5,100_corr_25,5,1.0,1.0,1.0,0.11
6,100_corr_50,1,0.666667,1.0,0.8,0.14
7,100_corr_50,2,0.666667,1.0,0.8,0.13
8,100_corr_50,3,0.666667,1.0,0.8,0.12
9,100_corr_50,4,0.666667,1.0,0.8,0.12
10,100_corr_50,5,0.666667,1.0,0.8,0.19
11,100_non_corr,1,0.7,1.0,0.823529,0.14
12,100_non_corr,2,0.7,1.0,0.823529,0.13
13,100_non_corr,3,0.7,1.0,0.823529,0.12
14,100_non_corr,4,1.0,1.0,1.0,0.12
15,100_non_corr,5,1.0,1.0,1.0,0.11
16,500_corr_25,1,0.974026,0.961538,0.967742,0.71
17,500_corr_25,2,0.987013,0.974359,0.980645,0.66
18,500_corr_25,3,0.987342,1.0,0.993631,0.64
19,500_corr_25,4,0.987342,1.0,0.993631,0.61
20,500_corr_25,5,0.987342,1.0,0.993631,0.61
21,500_corr_50,1,0.973684,0.948718,0.961039,0.71
22,500_corr_50,2,0.974359,0.974359,0.974359,0.72
23,500_corr_50,3,0.974359,0.974359,0.974359,0.63
24,500_corr_50,4,0.987342,1.0,0.993631,0.62
25,500_corr_50,5,0.987342,1.0,0.993631,0.58
26,500_non_corr,1,0.973333,1.0,0.986486,0.71
27,500_non_corr,2,0.973333,1.0,0.986486,0.69
28,500_non_corr,3,0.973333,1.0,0.986486,0.65
29,500_non_corr,4,0.973333,1.0,0.986486,0.62
30,500_non_corr,5,0.973333,1.0,0.986486,0.61
